Rank,Player,basic_v4,team,pos,minutes,minutes_per_game
89,Kasparas Jakučionis,0.6635703734902942,MIA,PG,945.0,17.8
90,Terance Mann,0.664065054830639,BRK,SG,1529.0,24.3
91,Nikola Jović,0.6716124195186262,MIA,PF,808.0,17.2
92,Franz Wagner,0.6719428416864,ORL,SF,1019.0,30.0
93,Zion Williamson,0.6768100782130043,NOP,PF,1841.0,29.7
94,Jerami Grant,0.6838582675494782,POR,PF,1695.0,29.7
95,Brandon Ingram,0.6867118011215876,TOR,SF,2604.0,33.8
96,Leonard Miller,0.686993643202034,2TM,SF,719.0,15.6
97,Aaron Nesmith,0.6899451088756988,IND,SF,1335.0,29.7
98,Ryan Dunn,0.6930836808132338,PHO,SF,1355.0,19.4
99,Kyshawn George,0.6931681666626689,WAS,SF,1391.0,29.0
100,CJ McCollum,0.6946013294179619,2TM,PG,2264.0,29.8
101,Brandon Miller,0.6986288253027867,CHO,SF,1968.0,30.3
102,Malik Monk,0.6988394489190498,SAC,SG,1364.0,22.0
103,Jaylen Wells,0.6995627268681869,MEM,SG,1821.0,26.4
104,Jabari Smith Jr.,0.7033376058583238,HOU,PF,2705.0,35.1
105,Jalen Wilson,0.7078753150584828,BRK,PF,859.0,15.9
106,Devin Carter,0.708184678758114,SAC,PG,700.0,18.4
107,Kyle Filipowski,0.7103086275790539,UTA,C,1801.0,23.4
108,Jevon Carter,0.7126776025284011,2TM,PG,867.0,16.4
109,Derrick White,0.7209998747406856,BOS,SG,2625.0,34.1
110,Ethan Thompson,0.7256645425072408,IND,SG,653.0,20.4
111,Jeremiah Fears,0.7264091802007555,NOP,PG,2112.0,25.8
112,Aaron Holiday,0.726546024989725,HOU,PG,781.0,13.7
113,Tari Eason,0.7274470177292012,HOU,PF,1549.0,25.8
114,Baylor Scheierman,0.7285441505180756,BOS,SG,1429.0,18.6
115,Julian Champagnie,0.7294885522221003,SAS,SF,2266.0,27.6
116,Julius Randle,0.7330686820853449,MIN,PF,2610.0,33.0
117,Gradey Dick,0.7343365253885956,TOR,SG,1067.0,14.0
118,Dominick Barlow,0.7353407571987282,PHI,PF,1689.0,23.8
119,Jake LaRavia,0.7398797816398056,LAL,PF,2061.0,25.1
120,Dalton Knecht,0.7412665323920318,LAL,SF,553.0,10.2
121,Josh Hart,0.7424905439593379,NYK,SF,1994.0,30.2
122,Devin Vassell,0.7433283953153131,SAS,SG,2044.0,30.5
123,Paul George,0.7435001383686413,PHI,PF,1135.0,30.7
124,Jamir Watkins,0.7446842567805928,WAS,SG,1032.0,20.6
125,Tyler Herro,0.7516964099491282,MIA,SG,1033.0,31.3
126,Noah Penda,0.7535181494008365,ORL,SF,757.0,12.8
127,Jabari Walker,0.7536820962449998,PHI,PF,762.0,11.9
128,Grayson Allen,0.7542272807312494,PHO,SG,1467.0,28.8
129,Tyrese Proctor,0.7574099114322747,CLE,PG,545.0,10.9
130,Dalen Terry,0.7600978371719396,2TM,SG,551.0,11.5
131,Jordan Clarkson,0.7609607319382063,NYK,SG,1279.0,17.8
132,Nic Claxton,0.762192089870928,BRK,C,1920.0,27.8
133,Caleb Martin,0.7631884795632211,DAL,SF,856.0,14.8
134,Miles McBride,0.7636522621040672,NYK,SG,1080.0,26.3
135,Caleb Love,0.7649809896356657,POR,SG,1013.0,20.7
136,Micah Potter,0.770908106445391,IND,C,908.0,19.3
