Rank,Player,basic_v2,team,pos,minutes,minutes_per_game,games
1,Gui Santos,0.11004307573568493,GSW,PF,1395.0,20.5,68.0
2,Jarace Walker,0.16933128174842887,IND,PF,1953.0,25.7,76.0
3,Kyle Kuzma,0.17228879809907058,MIL,PF,1806.0,26.2,69.0
4,Tobias Harris,0.2008328901282,DET,PF,1746.0,27.7,63.0
5,VJ Edgecombe,0.20412984952403315,PHI,SG,2623.0,35.0,75.0
6,Bilal Coulibaly,0.21596296467402928,WAS,SG,1468.0,26.2,56.0
7,Brandin Podziemski,0.252821325734054,GSW,SG,2333.0,28.5,82.0
8,Naji Marshall,0.25521124425720365,DAL,SF,2184.0,29.5,74.0
9,Kevin Huerter,0.2573311504263049,2TM,SF,1549.0,22.4,69.0
10,Khris Middleton,0.25798473570994673,2TM,SF,1439.0,22.8,63.0
11,Nikola Jović,0.27297086638418827,MIA,PF,808.0,17.2,47.0
12,Jaylon Tyson,0.2754707854440384,CLE,SG,1777.0,26.9,66.0
13,Simone Fontecchio,0.2832589503384969,MIA,SF,1173.0,16.8,70.0
14,Jordan Miller,0.3047994978037778,LAC,SF,1325.0,22.1,60.0
15,Andrew Wiggins,0.32829617945549094,MIA,SF,2063.0,30.3,68.0
16,Kenrich Williams,0.3493863227091427,OKC,PF,855.0,15.3,56.0
17,Jaden Ivey,0.3552101459220314,2TM,SG,670.0,18.1,37.0
18,Ousmane Dieng,0.36063955777511275,2TM,C,1099.0,19.3,57.0
19,Buddy Hield,0.3614909317634378,2TM,SG,819.0,16.1,51.0
20,Gary Payton II,0.3630751064356607,GSW,SG,1142.0,15.6,73.0
21,Cedric Coward,0.3654828432253955,MEM,SG,1598.0,25.8,62.0
22,Santi Aldama,0.3912351585220098,MEM,PF,1198.0,27.9,43.0
23,Devin Carter,0.3965837710587475,SAC,PG,700.0,18.4,38.0
24,Tre Mann,0.4065063576605521,CHO,PG,669.0,12.6,53.0
25,Tyrese Martin,0.4076460667325261,2TM,SG,777.0,16.9,46.0
26,Miles Bridges,0.41105401823831117,CHO,PF,2387.0,31.0,77.0
27,Jay Huff,0.41393150598295153,IND,C,1719.0,21.0,82.0
28,Jordan Goodwin,0.4158033282233515,PHO,PG,1572.0,22.5,70.0
29,De'Anthony Melton,0.4200404719792167,GSW,PG,1125.0,23.0,49.0
30,Mohamed Diawara,0.4213848434877623,NYK,SF,634.0,9.2,69.0
31,Peyton Watson,0.42178564985889627,DEN,SF,1598.0,29.6,54.0
32,Paul George,0.42583097515589013,PHI,PF,1135.0,30.7,37.0
33,Quentin Grimes,0.42712412006524725,PHI,SG,2206.0,29.4,75.0
34,De'Andre Hunter,0.42928576088744475,2TM,SF,1176.0,26.1,45.0
35,Jaden McDaniels,0.4334898709242007,MIN,PF,2316.0,31.7,73.0
36,Onyeka Okongwu,0.4345400624341588,ATL,C,2297.0,31.0,74.0
37,Sandro Mamukelashvili,0.44036339202362096,TOR,C,1751.0,21.9,80.0
38,Danny Wolf,0.44757237109033643,BRK,PF,1187.0,20.8,57.0
39,Anthony Black,0.45700636768722525,ORL,PG,1910.0,29.8,64.0
40,Aaron Wiggins,0.4615795801380678,OKC,SG,1414.0,21.8,65.0
41,Will Riley,0.4621631114872608,WAS,SF,1633.0,22.1,74.0
42,Christian Braun,0.46443622216416786,DEN,SG,1399.0,31.8,44.0
43,Ausar Thompson,0.4645789530002027,DET,SF,1896.0,26.0,73.0
44,Quinten Post,0.4725248998961536,GSW,PF,1159.0,17.3,67.0
45,Devin Vassell,0.4725599106140089,SAS,SG,2044.0,30.5,67.0
46,Royce O'Neale,0.4779523991594145,PHO,SF,2213.0,28.4,78.0
47,Saddiq Bey,0.47883339289005106,NOP,SF,2246.0,31.2,72.0
48,Kyshawn George,0.4807776200655438,WAS,SF,1391.0,29.0,48.0
49,Pelle Larsson,0.48093507601034974,MIA,SG,1849.0,26.4,70.0
50,Mikal Bridges,0.48125245227375646,NYK,SF,2692.0,32.8,82.0
51,Al Horford,0.4817773837630341,GSW,C,969.0,21.5,45.0
52,Kobe Brown,0.48327417490804936,2TM,PF,963.0,15.8,61.0
53,Jamaree Bouyea,0.4875003039865935,PHO,PG,644.0,14.0,46.0
54,Donte DiVincenzo,0.49431336882264615,MIN,SG,2494.0,30.4,82.0
55,Naz Reid,0.49569299997895805,MIN,C,2007.0,26.1,77.0
56,OG Anunoby,0.4972718073653211,NYK,PF,2224.0,33.2,67.0
57,Amen Thompson,0.4997081517308293,HOU,PG,2953.0,37.4,79.0
58,Jonathan Kuminga,0.5006371673941121,2TM,PF,830.0,23.1,36.0
59,Toumani Camara,0.5044860991603848,POR,PF,2731.0,33.3,82.0
60,Noah Clowney,0.5050410739305584,BRK,PF,1780.0,27.0,66.0
61,Julian Strawther,0.5095337702478933,DEN,SG,861.0,15.1,57.0
62,Matas Buzelis,0.5119274632204464,CHI,PF,2248.0,29.2,77.0
63,Jeremiah Fears,0.5122272671509197,NOP,PG,2112.0,25.8,82.0
64,Egor Dëmin,0.5180313058814041,BRK,PG,1308.0,25.2,52.0
65,Grant Williams,0.5225517566915118,CHO,PF,711.0,19.8,36.0
66,Ace Bailey,0.5238515582374692,UTA,SF,1988.0,27.6,72.0
67,Collin Murray-Boyles,0.5242478284979816,TOR,PF,1246.0,21.9,57.0
68,Josh Minott,0.525887693071784,2TM,PF,834.0,17.0,49.0
69,Corey Kispert,0.5260025693668775,2TM,SF,1080.0,18.6,58.0
70,Aaron Gordon,0.535470066558778,DEN,PF,1005.0,27.9,36.0
71,Ron Holland,0.5359227194682495,DET,SF,1551.0,19.9,78.0
72,Caleb Love,0.5458665011253719,POR,SG,1013.0,20.7,49.0
73,Brook Lopez,0.5475346993094654,LAC,C,1635.0,21.8,75.0
74,Taurean Prince,0.5490276920121704,MIL,SF,611.0,23.5,26.0
75,Cameron Johnson,0.5512900357870796,DEN,SF,1647.0,30.5,54.0
76,Aaron Nesmith,0.5518592034063149,IND,SF,1335.0,29.7,45.0
77,Alex Caruso,0.5539653592467819,OKC,SG,1020.0,18.2,56.0
78,Ayo Dosunmu,0.5550493404502178,2TM,SG,1881.0,27.3,69.0
79,Kon Knueppel,0.5596751808106317,CHO,SF,2551.0,31.5,81.0
