Rank,Player,basic_v2,team,pos,minutes,minutes_per_game,games
1,Kyle Kuzma,0.11044284250462338,MIL,PF,1806.0,26.2,69.0
2,Gui Santos,0.1655495533556121,GSW,PF,1395.0,20.5,68.0
3,Brandin Podziemski,0.2121056390330814,GSW,SG,2333.0,28.5,82.0
4,Naji Marshall,0.21612649077131735,DAL,SF,2184.0,29.5,74.0
5,Tobias Harris,0.2172694736811535,DET,PF,1746.0,27.7,63.0
6,VJ Edgecombe,0.22016135889075059,PHI,SG,2623.0,35.0,75.0
7,Jarace Walker,0.23567482495797668,IND,PF,1953.0,25.7,76.0
8,Bilal Coulibaly,0.27783936396898984,WAS,SG,1468.0,26.2,56.0
9,Jaylon Tyson,0.2831266375682136,CLE,SG,1777.0,26.9,66.0
10,Simone Fontecchio,0.29034859469873886,MIA,SF,1173.0,16.8,70.0
11,Khris Middleton,0.29719653831688614,2TM,SF,1439.0,22.8,63.0
12,Kevin Huerter,0.3007929717775734,2TM,SF,1549.0,22.4,69.0
13,Jordan Miller,0.3253441663703838,LAC,SF,1325.0,22.1,60.0
14,Miles Bridges,0.3266528845193678,CHO,PF,2387.0,31.0,77.0
15,Cedric Coward,0.3335905376858691,MEM,SG,1598.0,25.8,62.0
16,Paul George,0.33481358848205417,PHI,PF,1135.0,30.7,37.0
17,Andrew Wiggins,0.33711374041234143,MIA,SF,2063.0,30.3,68.0
18,De'Anthony Melton,0.36809196683869555,GSW,PG,1125.0,23.0,49.0
19,Gary Payton II,0.3694359265387246,GSW,SG,1142.0,15.6,73.0
20,Santi Aldama,0.38970856405881865,MEM,PF,1198.0,27.9,43.0
21,De'Andre Hunter,0.41252947719174937,2TM,SF,1176.0,26.1,45.0
22,Ousmane Dieng,0.4129044162244776,2TM,C,1099.0,19.3,57.0
23,Peyton Watson,0.424796526945089,DEN,SF,1598.0,29.6,54.0
24,Saddiq Bey,0.4261468890622973,NOP,SF,2246.0,31.2,72.0
25,Sandro Mamukelashvili,0.42796473686748604,TOR,C,1751.0,21.9,80.0
26,Kyshawn George,0.435922081554949,WAS,SF,1391.0,29.0,48.0
27,Anthony Black,0.43839006139242187,ORL,PG,1910.0,29.8,64.0
28,Jeremiah Fears,0.4494774354364729,NOP,PG,2112.0,25.8,82.0
29,Quentin Grimes,0.4497178837017125,PHI,SG,2206.0,29.4,75.0
30,Onyeka Okongwu,0.449890384111126,ATL,C,2297.0,31.0,74.0
31,Jay Huff,0.4576390589635363,IND,C,1719.0,21.0,82.0
32,Amen Thompson,0.4599426086797666,HOU,PG,2953.0,37.4,79.0
33,Jaden McDaniels,0.4624844184223527,MIN,PF,2316.0,31.7,73.0
34,Aaron Gordon,0.4629136814327639,DEN,PF,1005.0,27.9,36.0
35,Kon Knueppel,0.46787521335945614,CHO,SF,2551.0,31.5,81.0
36,Jordan Goodwin,0.4837491585701214,PHO,PG,1572.0,22.5,70.0
37,Danny Wolf,0.4837597307830649,BRK,PF,1187.0,20.8,57.0
38,Matas Buzelis,0.4857768425801409,CHI,PF,2248.0,29.2,77.0
39,Naz Reid,0.4883055136519933,MIN,C,2007.0,26.1,77.0
40,Trey Murphy III,0.4883293160629531,NOP,SF,2341.0,35.5,66.0
41,OG Anunoby,0.4901553206681984,NYK,PF,2224.0,33.2,67.0
42,Will Riley,0.49132466838791256,WAS,SF,1633.0,22.1,74.0
43,Mikal Bridges,0.5025052906161499,NYK,SF,2692.0,32.8,82.0
44,Bennedict Mathurin,0.5050274194403931,2TM,SF,1620.0,30.0,54.0
45,Devin Vassell,0.507004204314749,SAS,SG,2044.0,30.5,67.0
46,Aaron Wiggins,0.5096967992721639,OKC,SG,1414.0,21.8,65.0
47,Quinten Post,0.5144869512578478,GSW,PF,1159.0,17.3,67.0
48,Ayo Dosunmu,0.5165443642923493,2TM,SG,1881.0,27.3,69.0
49,Pelle Larsson,0.5184322486256676,MIA,SG,1849.0,26.4,70.0
50,Ausar Thompson,0.5230594145359847,DET,SF,1896.0,26.0,73.0
51,Noah Clowney,0.5332618772092675,BRK,PF,1780.0,27.0,66.0
52,Ajay Mitchell,0.5359246451233781,OKC,SG,1473.0,25.8,57.0
53,Caleb Love,0.536581708240077,POR,SG,1013.0,20.7,49.0
54,Christian Braun,0.5367645927166054,DEN,SG,1399.0,31.8,44.0
55,Jaime Jaquez Jr.,0.5375618077979448,MIA,SF,2121.0,28.3,75.0
56,Ace Bailey,0.539987368045226,UTA,SF,1988.0,27.6,72.0
57,Donte DiVincenzo,0.5400348206181433,MIN,SG,2494.0,30.4,82.0
58,Corey Kispert,0.5410997956952726,2TM,SF,1080.0,18.6,58.0
59,Egor Dëmin,0.5439021449442928,BRK,PG,1308.0,25.2,52.0
60,Royce O'Neale,0.5562278172181438,PHO,SF,2213.0,28.4,78.0
61,GG Jackson II,0.5571768290918645,MEM,PF,1178.0,21.4,55.0
62,Cooper Flagg,0.5634386096737811,DAL,SF,2344.0,33.5,70.0
63,Toumani Camara,0.5680228110477972,POR,PF,2731.0,33.3,82.0
64,Tre Johnson,0.5696083603012495,WAS,SG,1443.0,24.1,60.0
65,Aaron Nesmith,0.5840125024305272,IND,SF,1335.0,29.7,45.0
66,Collin Murray-Boyles,0.5888354080909135,TOR,PF,1246.0,21.9,57.0
67,Jared McCain,0.589491632431929,2TM,SG,1160.0,17.3,67.0
68,Reed Sheppard,0.5914392787121469,HOU,SG,2147.0,26.2,82.0
69,Ron Holland,0.5915670339938087,DET,SF,1551.0,19.9,78.0
70,Jabari Smith Jr.,0.6048597120557274,HOU,PF,2705.0,35.1,77.0
71,Cameron Johnson,0.6069051040050839,DEN,SF,1647.0,30.5,54.0
72,Brook Lopez,0.6080689420254187,LAC,C,1635.0,21.8,75.0
73,Myles Turner,0.6106458983803843,MIL,C,1912.0,26.9,71.0
74,Moses Moody,0.6114584217733491,GSW,SG,1540.0,25.7,60.0
75,RJ Barrett,0.6226736256374431,TOR,SF,1726.0,30.3,57.0
76,Alex Caruso,0.6243866780429743,OKC,SG,1020.0,18.2,56.0
77,Brandon Ingram,0.6303731964163766,TOR,SF,2604.0,33.8,77.0
78,Nic Claxton,0.6319153759546765,BRK,C,1920.0,27.8,69.0
79,Desmond Bane,0.6337581092884814,ORL,SG,2756.0,33.6,82.0
80,Tristan Da Silva,0.6358835033990933,ORL,SF,1899.0,24.7,77.0
81,Nique Clifford,0.6403908173124646,SAC,SG,1882.0,25.1,75.0
82,Jock Landale,0.6409639784583537,2TM,C,1506.0,22.1,68.0
83,Kelly Oubre Jr.,0.6428883050411176,PHI,SF,1574.0,31.5,50.0
84,Sam Hauser,0.6431529552640313,BOS,PF,1934.0,24.8,78.0
85,Collin Gillespie,0.6453259221331977,PHO,PG,2282.0,28.5,80.0
86,P.J. Washington,0.6497023182210989,DAL,PF,1736.0,31.0,56.0
87,Tyler Herro,0.651094529426589,MIA,SG,1033.0,31.3,33.0
88,Miles McBride,0.6587829195049185,NYK,SG,1080.0,26.3,41.0
89,Sam Merrill,0.6769729165575137,CLE,SG,1377.0,26.5,52.0
90,Dylan Harper,0.6778856047429928,SAS,SG,1558.0,22.6,69.0
91,Derrick White,0.6794316384141498,BOS,SG,2625.0,34.1,77.0
92,Julian Champagnie,0.6814612161774086,SAS,SF,2266.0,27.6,82.0
93,Kentavious Caldwell-Pope,0.6841001365981303,MEM,SG,1088.0,21.3,51.0
94,Bruce Brown,0.6895837180169755,DEN,SG,1998.0,24.4,82.0
95,Zaccharie Risacher,0.6903123485843037,ATL,SF,1503.0,22.4,67.0
96,Luke Kennard,0.6907329924311028,2TM,SG,1681.0,21.6,78.0
97,Isaiah Joe,0.6907932368387453,OKC,SG,1507.0,21.2,71.0
98,Jordan Clarkson,0.6944988072306468,NYK,SG,1279.0,17.8,72.0
99,Isaiah Stewart,0.7032472126828392,DET,C,1317.0,22.7,58.0
100,Jaylen Wells,0.7072154971009612,MEM,SG,1821.0,26.4,69.0
101,Keldon Johnson,0.7105850792995466,SAS,SF,1911.0,23.3,82.0
102,Kobe Sanders,0.7170709289328331,LAC,SG,1351.0,19.9,68.0
103,Jamir Watkins,0.7215688904750358,WAS,SG,1032.0,20.6,50.0
104,Brice Sensabaugh,0.7269281123542348,UTA,SF,1762.0,23.5,75.0
105,Julius Randle,0.731491513340469,MIN,PF,2610.0,33.0,79.0
106,Jaren Jackson Jr.,0.7344457382713363,2TM,C,1454.0,30.3,48.0
107,Grayson Allen,0.7363950205678286,PHO,SG,1467.0,28.8,51.0
108,Bones Hyland,0.7445516727645487,MIN,PG,1177.0,16.6,71.0
109,Anfernee Simons,0.7448779673903163,2TM,SG,1372.0,24.9,55.0
110,Duncan Robinson,0.7485127319439215,DET,SG,2113.0,27.4,77.0
111,Baylor Scheierman,0.7489319990666247,BOS,SG,1429.0,18.6,77.0
112,John Collins,0.7512053995501681,LAC,PF,1872.0,27.1,69.0
113,Gradey Dick,0.7534625169726316,TOR,SG,1067.0,14.0,76.0
114,Wendell Carter Jr.,0.7576767434164038,ORL,C,2288.0,29.3,78.0
115,Nae'Qwan Tomlin,0.7578261098149884,CLE,PF,1004.0,15.7,64.0
116,Alex Sarr,0.7600777375498025,WAS,C,1305.0,27.2,48.0
117,Jaxson Hayes,0.7604293075124284,LAL,C,1207.0,18.3,66.0
118,Jake LaRavia,0.7617119315504703,LAL,PF,2061.0,25.1,82.0
119,Payton Pritchard,0.7628023257608078,BOS,PG,2556.0,32.4,79.0
120,CJ McCollum,0.7638894572765667,2TM,PG,2264.0,29.8,76.0
121,Svi Mykhailiuk,0.7654503186971547,UTA,SF,1156.0,23.1,50.0
122,Taylor Hendricks,0.7676433016317054,2TM,PF,1118.0,18.9,59.0
123,Tari Eason,0.7715584091643691,HOU,PF,1549.0,25.8,60.0
124,Guerschon Yabusele,0.7729047141872087,2TM,C,1007.0,15.0,67.0
125,Max Christie,0.7744555230080177,DAL,SG,2244.0,29.1,77.0
126,Nickeil Alexander-Walker,0.780475890854069,ATL,SG,2603.0,33.4,78.0
127,Franz Wagner,0.7820248017677456,ORL,SF,1019.0,30.0,34.0
128,Ben Sheppard,0.7824706415148015,IND,SG,1390.0,21.4,65.0
129,Harrison Barnes,0.7827004914376234,SAS,PF,1986.0,25.8,77.0
130,Caris LeVert,0.7837460229481171,DET,SG,1154.0,19.2,60.0
131,Cody Williams,0.7858255718047439,UTA,SG,1631.0,24.3,67.0
132,Luka Garza,0.7881583581898155,BOS,C,1118.0,16.2,69.0
133,Ryan Rollins,0.7952930211133677,MIL,PG,2376.0,32.1,74.0
134,Dru Smith,0.7955084600547196,MIA,SG,1141.0,16.3,70.0
135,Brandon Miller,0.7972005867062126,CHO,SF,1968.0,30.3,65.0
136,Evan Mobley,0.8017580312608901,CLE,PF,2074.0,31.9,65.0
137,Jimmy Butler,0.8034778291949919,GSW,SF,1182.0,31.1,38.0
138,Scottie Barnes,0.8065503344671581,TOR,PF,2681.0,33.5,80.0
139,Derik Queen,0.8120607095245422,NOP,C,2023.0,25.0,81.0
140,Josh Hart,0.812961259631985,NYK,SF,1994.0,30.2,66.0
141,Derrick Jones Jr.,0.8131658187029062,LAC,SF,1350.0,27.0,50.0
142,Nikola Vučević,0.8134278084555535,2TM,C,1818.0,28.4,64.0
