Rank,Player,basic_v5,team,pos,minutes,minutes_per_game
90,Kyle Filipowski,0.6965558878559948,UTA,C,1801.0,23.4
91,Moses Moody,0.6965811616282028,GSW,SG,1540.0,25.7
92,Guerschon Yabusele,0.6966450891746012,2TM,C,1007.0,15.0
93,Rayan Rupert,0.6984501112351338,2TM,SG,1072.0,16.8
94,Caris LeVert,0.6985548444200725,DET,SG,1154.0,19.2
95,Kyshawn George,0.7013055824758895,WAS,SF,1391.0,29.0
96,Bam Adebayo,0.7016582800841477,MIA,C,2365.0,32.4
97,Dalton Knecht,0.7043507111928143,LAL,SF,553.0,10.2
98,John Collins,0.7046129135226907,LAC,PF,1872.0,27.1
99,Max Christie,0.7119243374775583,DAL,SG,2244.0,29.1
100,Gradey Dick,0.7131921355610383,TOR,SG,1067.0,14.0
101,Ethan Thompson,0.7133395780506958,IND,SG,653.0,20.4
102,Ajay Mitchell,0.7150016269013693,OKC,SG,1473.0,25.8
103,Simone Fontecchio,0.7264938445037167,MIA,SF,1173.0,16.8
104,Hugo González,0.7272927091857726,BOS,SF,1084.0,14.6
105,Ousmane Dieng,0.7331578432353019,2TM,C,1099.0,19.3
106,Derrick Jones Jr.,0.7342190056200584,LAC,SF,1350.0,27.0
107,Matas Buzelis,0.7354769060617987,CHI,PF,2248.0,29.2
108,Marcus Smart,0.7374509895013014,LAL,SG,1769.0,28.5
109,Jeremiah Fears,0.7389215771095669,NOP,PG,2112.0,25.8
110,Scoot Henderson,0.7476032721347484,POR,PG,748.0,24.9
111,Jabari Walker,0.7496561821553139,PHI,PF,762.0,11.9
112,Bones Hyland,0.7499266440277693,MIN,PG,1177.0,16.6
113,Johnny Furphy,0.7516003875523248,IND,SG,643.0,18.4
114,Jordan Walsh,0.7553161892385785,BOS,PF,1212.0,17.8
115,Tre Johnson,0.7554060163621925,WAS,SG,1443.0,24.1
116,Terrence Shannon Jr.,0.756151675130893,MIN,SG,538.0,12.5
117,Justin Champagnie,0.7570917720544635,WAS,SF,1377.0,20.0
118,Caleb Love,0.7582936745156262,POR,SG,1013.0,20.7
119,Kasparas Jakučionis,0.7590527910246454,MIA,PG,945.0,17.8
120,Tidjane Salaün,0.7610971294266027,CHO,PF,575.0,15.5
121,Egor Dëmin,0.7612119428938164,BRK,PG,1308.0,25.2
122,Sion James,0.7627805214911172,CHO,SG,1843.0,22.5
123,Christian Braun,0.7637703366775893,DEN,SG,1399.0,31.8
124,Leonard Miller,0.7647326002810754,2TM,SF,719.0,15.6
125,Lauri Markkanen,0.7661807057286606,UTA,PF,1443.0,34.4
126,Josh Minott,0.7664031058754847,2TM,PF,834.0,17.0
127,Ben Sheppard,0.7674514510022935,IND,SG,1390.0,21.4
128,Brandon Williams,0.7698539230798408,DAL,PG,1463.0,22.2
129,Ochai Agbaji,0.7732327722484311,2TM,SG,973.0,15.7
130,Immanuel Quickley,0.7733915470481245,TOR,PG,2231.0,31.9
131,Tyrese Proctor,0.7741209145906737,CLE,PG,545.0,10.9
132,Herbert Jones,0.7756734662977236,NOP,SF,1588.0,28.4
133,Sidy Cissoko,0.7757533203941346,POR,SF,1435.0,19.1
134,Jaime Jaquez Jr.,0.7771530362979933,MIA,SF,2121.0,28.3
135,Jose Alvarado,0.7782251950494703,2TM,PG,1370.0,19.9
136,Nikola Vučević,0.7801886731617851,2TM,C,1818.0,28.4
137,Micah Potter,0.7817760465240903,IND,C,908.0,19.3
138,Cody Williams,0.7852417973008874,UTA,SG,1631.0,24.3
139,Pete Nance,0.7864919642736784,MIL,PF,737.0,15.7
140,Tyler Herro,0.7867634243955969,MIA,SG,1033.0,31.3
141,Ryan Dunn,0.7916104119763814,PHO,SF,1355.0,19.4
142,Justin Edwards,0.7922525476783316,PHI,SF,977.0,15.3
143,Keldon Johnson,0.7935095106533614,SAS,SF,1911.0,23.3
144,Derrick White,0.7941150937590011,BOS,SG,2625.0,34.1
145,Jamaree Bouyea,0.7948219565019929,PHO,PG,644.0,14.0
146,Donte DiVincenzo,0.7958606949693346,MIN,SG,2494.0,30.4
147,Devin Carter,0.7969953331499883,SAC,PG,700.0,18.4
148,Carter Bryant,0.7978928333997514,SAS,PF,818.0,11.5
149,Bryce McGowens,0.7985085460053276,NOP,SG,880.0,21.0
150,Daniss Jenkins,0.7987428357291293,DET,PG,1455.0,20.2
151,Grant Williams,0.8020893871769987,CHO,PF,711.0,19.8
152,Jalen Pickett,0.8032181137111647,DEN,SG,807.0,16.1
153,Pascal Siakam,0.8054503060232088,IND,PF,2057.0,33.2
154,Asa Newell,0.8062413875457911,ATL,PF,500.0,11.4
155,CJ McCollum,0.8105525741119773,2TM,PG,2264.0,29.8
156,Collin Sexton,0.8106663554072892,2TM,SG,1614.0,23.7
157,Zach LaVine,0.8183337274396794,SAC,SG,1224.0,31.4
158,Zeke Nnaji,0.819220373585196,DEN,PF,626.0,12.0
159,Jaren Jackson Jr.,0.832063424122584,2TM,C,1454.0,30.3
160,Brook Lopez,0.8324510971831067,LAC,C,1635.0,21.8
161,Harrison Barnes,0.835495011374374,SAS,PF,1986.0,25.8
162,Craig Porter Jr.,0.8363947356148395,CLE,PG,1148.0,17.9
163,Kris Murray,0.8364034885566402,POR,SF,1333.0,23.4
164,Taurean Prince,0.8369704744300259,MIL,SF,611.0,23.5
165,Svi Mykhailiuk,0.8381136347130999,UTA,SF,1156.0,23.1
166,Corey Kispert,0.8383605983375031,2TM,SF,1080.0,18.6
167,Ziaire Williams,0.8383696774623207,BRK,SF,1281.0,22.9
168,Cooper Flagg,0.8396132221892333,DAL,SF,2344.0,33.5
169,Michael Porter Jr.,0.8443718671695388,BRK,SF,1689.0,32.5
170,Tristan Vukcevic,0.8468287553537438,WAS,C,671.0,13.7
171,Daeqwon Plowden,0.8481780563713681,SAC,SG,844.0,26.4
172,Al Horford,0.8494043280530307,GSW,C,969.0,21.5
173,De'Aaron Fox,0.85046835489132,SAS,PG,2231.0,31.0
174,Ron Holland,0.8511728625515713,DET,SF,1551.0,19.9
175,Jaden Hardy,0.8512075481760395,2TM,SG,898.0,15.8
176,Tre Jones,0.8531290802814883,CHI,PG,1752.0,27.0
177,Thomas Bryant,0.854050486146992,CLE,C,732.0,12.2
178,Grayson Allen,0.8562412912926423,PHO,SG,1467.0,28.8
179,Scottie Barnes,0.8630773065853843,TOR,PF,2681.0,33.5
180,Luke Kennard,0.8631310318418262,2TM,SG,1681.0,21.6
181,Amen Thompson,0.863982541774095,HOU,PG,2953.0,37.4
182,Collin Gillespie,0.8642170118649218,PHO,PG,2282.0,28.5
183,Anthony Gill,0.8650877112569403,WAS,PF,951.0,17.3
184,Austin Reaves,0.8651258519241918,LAL,SG,1762.0,34.5
185,Caleb Martin,0.8654756601665865,DAL,SF,856.0,14.8
186,Baylor Scheierman,0.8679183625115863,BOS,SG,1429.0,18.6
187,Miles McBride,0.8705108988871804,NYK,SG,1080.0,26.3
188,Javon Small,0.8716045883216075,MEM,PG,830.0,20.2
189,Kentavious Caldwell-Pope,0.8727285360418064,MEM,SG,1088.0,21.3
190,Aaron Holiday,0.8728266212861914,HOU,PG,781.0,13.7
191,Rasheer Fleming,0.8738534265400753,PHO,PF,673.0,12.2
192,Tre Mann,0.874624159426352,CHO,PG,669.0,12.6
193,Elijah Harkless,0.8789111478042763,UTA,SG,545.0,21.0
194,Jett Howard,0.8815633978075234,ORL,SF,695.0,12.6
195,Jimmy Butler,0.8819704118057944,GSW,SF,1182.0,31.1
196,Paolo Banchero,0.8837267312756509,ORL,PF,2502.0,34.8
197,Davion Mitchell,0.8846376325641438,MIA,PG,2000.0,28.6
198,Devin Vassell,0.8858889684272307,SAS,SG,2044.0,30.5
199,Walter Clayton,0.8860499331387137,2TM,PG,1410.0,20.4
200,Vince Williams Jr.,0.8873420042286119,2TM,SG,820.0,20.5
201,Dennis Schröder,0.8898558572650461,2TM,PG,1697.0,24.2
202,Paul George,0.891852350298079,PHI,PF,1135.0,30.7
203,Kristaps Porziņģis,0.8922832899246953,2TM,C,769.0,24.0
204,Pat Spencer,0.8922888483168389,GSW,PG,1229.0,18.6
205,Luka Garza,0.8924924378641705,BOS,C,1118.0,16.2
206,Julian Champagnie,0.8953967142617094,SAS,SF,2266.0,27.6
207,Isaac Okoro,0.8967698741674948,CHI,SG,1695.0,26.9
208,Gary Payton II,0.8973112927658153,GSW,SG,1142.0,15.6
209,Josh Okogie,0.8993845057945626,HOU,SG,1354.0,17.4
210,Jevon Carter,0.899702513488116,2TM,PG,867.0,16.4
211,Jordan Poole,0.9002270858175931,NOP,PG,933.0,23.9
212,Jamison Battle,0.9081734368906628,TOR,SF,517.0,8.5
213,Ryan Rollins,0.9138133786073455,MIL,PG,2376.0,32.1
214,Jalen Smith,0.9138482395957238,CHI,C,1095.0,20.7
215,Jaylen Clark,0.9147958256838167,MIN,SG,888.0,13.1
216,Trendon Watford,0.9199013141939645,PHI,PF,864.0,16.3
217,Reed Sheppard,0.9204931518921118,HOU,SG,2147.0,26.2
218,Will Richard,0.9212792226267883,GSW,SG,1377.0,20.0
219,Kris Dunn,0.9237389558043303,LAC,PG,2230.0,27.2
220,Keaton Wallace,0.924475073838792,ATL,PG,536.0,10.1
221,Luguentz Dort,0.9293591733276751,OKC,SF,1849.0,26.8
222,Jahmai Mashack,0.9310289876154474,MEM,SG,673.0,21.7
223,Precious Achiuwa,0.9324905910203867,SAC,C,1745.0,23.9
224,Royce O'Neale,0.9352275837831491,PHO,SF,2213.0,28.4
225,Keyonte George,0.9396928912118102,UTA,PG,1786.0,33.1
226,Keegan Murray,0.9405362880186483,SAC,PF,793.0,34.5
227,Payton Pritchard,0.9407801741570864,BOS,PG,2556.0,32.4
228,Ja'Kobe Walter,0.9451922014051594,TOR,SG,1474.0,20.5
229,Micah Peavy,0.948377331904496,NOP,SG,913.0,15.0
230,Sharife Cooper,0.9510830836413291,WAS,PG,700.0,17.1
231,Spencer Jones,0.9511261103924955,DEN,SF,1417.0,22.1
232,Jalen Williams,0.9540015956621769,OKC,SG,936.0,28.4
233,Tyler Kolek,0.9550350574388567,NYK,PG,727.0,11.7
234,Myles Turner,0.9558232687439167,MIL,C,1912.0,26.9
235,Bobby Portis,0.956418638745192,MIL,PF,1619.0,24.2
236,Mouhamed Gueye,0.9604768169594149,ATL,PF,1179.0,15.3
