Rank,Player,basic_v2,team,pos,minutes,minutes_per_game,games
243,John Konchar,1.0570903595301095,2TM,SG,1115.0,19.9,56.0
244,Cam Thomas,1.0579443796618877,2TM,SG,881.0,21.0,42.0
245,Vince Williams Jr.,1.058115556145922,2TM,SG,820.0,20.5,40.0
246,Nolan Traoré,1.0593284082878869,BRK,PG,1243.0,22.2,56.0
247,Dillon Brooks,1.064732626425421,PHO,SF,1702.0,30.4,56.0
248,Kris Murray,1.0713983122814705,POR,SF,1333.0,23.4,57.0
249,Jrue Holiday,1.0750243307729606,POR,PG,1560.0,29.4,53.0
250,Josh Green,1.0813011568622337,CHO,SG,908.0,15.7,58.0
251,Norman Powell,1.099249721711358,MIA,SG,1717.0,29.6,58.0
252,Keon Ellis,1.1037898812869882,2TM,SG,1478.0,20.5,72.0
253,Dennis Schröder,1.1053505228913771,2TM,PG,1697.0,24.2,70.0
254,Jarred Vanderbilt,1.1066068836839225,LAL,PF,1128.0,17.4,65.0
255,Kevin Durant,1.1116868091972016,HOU,SF,2840.0,36.4,78.0
256,Jalen Smith,1.1165828086384415,CHI,C,1095.0,20.7,53.0
257,Jarrett Allen,1.122620789995577,CLE,C,1519.0,27.1,56.0
258,Hugo González,1.1480423798002224,BOS,SF,1084.0,14.6,74.0
259,Paul Reed,1.1480726938978967,DET,C,901.0,13.9,65.0
260,Daniel Gafford,1.1487626766694858,DAL,C,1195.0,21.7,55.0
261,Goga Bitadze,1.1578722576742666,ORL,C,972.0,15.2,64.0
262,Gary Trent Jr.,1.1591852570955001,MIL,SG,1377.0,21.2,65.0
263,De'Aaron Fox,1.161292524853402,SAS,PG,2231.0,31.0,72.0
264,Craig Porter Jr.,1.1633764874164254,CLE,PG,1148.0,17.9,64.0
265,Walter Clayton,1.164488484832624,2TM,PG,1410.0,20.4,69.0
266,Nicolas Batum,1.1661652629249737,LAC,PF,1295.0,17.5,74.0
267,Deandre Ayton,1.1732605636805966,LAL,C,1958.0,27.2,72.0
268,Isaiah Jackson,1.1764115509470012,2TM,C,908.0,16.5,55.0
269,Chet Holmgren,1.1764856245509927,OKC,PF,1997.0,28.9,69.0
270,Jericho Sims,1.1961213647125695,MIL,C,1318.0,19.7,67.0
271,Spencer Jones,1.1965659550715504,DEN,SF,1417.0,22.1,64.0
272,Draymond Green,1.2094571438645765,GSW,PF,1869.0,27.5,68.0
273,Michael Porter Jr.,1.212522735004864,BRK,SF,1689.0,32.5,52.0
274,Yves Missi,1.2126176743554458,NOP,C,1297.0,19.7,66.0
275,Mike Conley,1.2457041942527305,MIN,PG,991.0,18.4,54.0
276,Lauri Markkanen,1.2470283204279964,UTA,PF,1443.0,34.4,42.0
277,Gabe Vincent,1.2480807423798606,2TM,PG,879.0,16.6,53.0
278,Adem Bona,1.262555777006483,PHI,C,1234.0,17.4,71.0
279,Kevin Porter Jr.,1.26543197656754,MIL,PG,1261.0,33.2,38.0
280,Dwight Powell,1.2775127625973812,DAL,C,904.0,14.3,63.0
281,Keyonte George,1.2835195125552565,UTA,PG,1786.0,33.1,54.0
282,Alperen Şengün,1.2886654708895333,HOU,C,2398.0,33.3,72.0
283,Russell Westbrook,1.2912621228328922,SAC,SF,1853.0,29.0,64.0
284,Neemias Queta,1.3001297191524543,BOS,C,1926.0,25.3,76.0
285,LeBron James,1.3393871738704035,LAL,SF,1989.0,33.2,60.0
286,Day'Ron Sharpe,1.3656862256194633,BRK,C,1160.0,18.7,62.0
287,Ivica Zubac,1.3664437196321562,2TM,C,1446.0,30.1,48.0
288,Deni Avdija,1.377801859054765,POR,SF,2199.0,33.3,66.0
289,Tyrese Maxey,1.3897668492931563,PHI,PG,2661.0,38.0,70.0
290,Mark Williams,1.394016488430067,PHO,C,1416.0,23.6,60.0
291,Cam Spencer,1.3948194356494208,MEM,SG,1714.0,23.8,72.0
292,Anthony Edwards,1.4056831698434613,MIN,SG,2137.0,35.0,61.0
293,Moussa Diabaté,1.4071369549408506,CHO,C,1899.0,26.0,73.0
294,Tyus Jones,1.4529210491568691,3TM,PG,979.0,14.6,67.0
295,Stephon Castle,1.462278866490976,SAS,PG,2038.0,30.0,68.0
296,Jamal Murray,1.4789750588096497,DEN,PG,2652.0,35.4,75.0
297,Davion Mitchell,1.4806150369338362,MIA,PG,2000.0,28.6,70.0
298,Jalen Johnson,1.5233509501304408,ATL,SF,2532.0,35.2,72.0
299,Rudy Gobert,1.5449952404876648,MIN,C,2380.0,31.3,76.0
300,Andrew Nembhard,1.5609995797096679,IND,PG,1786.0,31.3,57.0
301,Darius Garland,1.5760962918552543,2TM,PG,1344.0,29.9,45.0
302,Joel Embiid,1.5882731959506118,PHI,C,1201.0,31.6,38.0
303,James Harden,1.588933855712027,2TM,PG,2438.0,34.8,70.0
304,Devin Booker,1.5899273954919222,PHO,SG,2146.0,33.5,64.0
305,Donovan Mitchell,1.6111391343594093,CLE,SG,2342.0,33.5,70.0
